fecha,fallecidos,casos_dx
2020-07-24,171,6385
2020-07-25,142,4921
2020-07-26,167,3625
2020-07-27,200,5384
2020-07-28,190,6135
2020-07-29,207,6490
2020-07-30,196,6226
2020-07-31,185,7157
2020-08-01,172,5305
2020-08-02,235,4586
2020-08-03,206,6422
2020-08-04,203,7489
2020-08-05,225,8189
2020-08-06,238,8040
2020-08-07,208,8225
2020-08-08,208,6570
2020-08-09,213,4579
2020-08-10,220,7088
2020-08-11,177,7629
2020-08-12,217,7691
2020-08-13,223,7649
2020-08-14,231,7432
2020-08-15,214,6860
2020-08-16,221,3810
2020-08-17,236,5611
2020-08-18,265,6970
2020-08-19,236,8424
2020-08-20,229,8875
2020-08-21,221,8586
2020-08-22,249,7698
2020-08-23,214,4789
2020-08-24,299,8791
2020-08-25,260,9766
2020-08-26,242,10733
2020-08-27,260,11528
2020-08-28,262,11053
2020-08-29,275,9178
2020-08-30,272,6890
2020-08-31,303,10056
2020-09-01,308,11517
2020-09-02,296,11653
2020-09-03,324,11593
2020-09-04,332,11316
2020-09-05,307,9630
2020-09-06,319,6341
2020-09-07,347,10412
2020-09-08,319,12489
2020-09-09,360,12891
2020-09-10,320,12140
2020-09-11,337,12972
2020-09-12,282,10837
2020-09-13,331,7310
2020-09-14,353,10936
2020-09-15,357,11775
2020-09-16,351,12235
2020-09-17,371,12657
2020-09-18,362,12905
2020-09-19,337,10278
2020-09-20,314,6230
2020-09-21,362,10768
2020-09-22,340,11874
2020-09-23,374,13554
2020-09-24,358,13574
2020-09-25,404,13911
2020-09-26,382,10722
2020-09-27,337,7244
2020-09-28,359,13176
2020-09-29,328,15506
2020-09-30,390,14801
2020-10-01,396,14375
2020-10-02,370,15054
2020-10-03,319,11225
2020-10-04,378,6513
2020-10-05,372,13230
2020-10-06,360,15234
2020-10-07,382,15862
2020-10-08,407,15986
2020-10-09,426,16279
2020-10-10,357,12893
2020-10-11,313,8423
2020-10-12,321,9987
2020-10-13,392,15322
2020-10-14,397,17773
2020-10-15,351,17558
2020-10-16,337,18462
2020-10-17,315,13465
2020-10-18,386,7323
2020-10-19,390,15677
2020-10-20,378,16584
2020-10-21,359,16682
2020-10-22,341,15559
2020-10-23,353,15265
2020-10-24,360,11950
2020-10-25,330,6548
2020-10-26,327,13696
2020-10-27,347,14133
2020-10-28,330,13999
2020-10-29,313,13102
2020-10-30,308,13062
2020-10-31,320,8293
2020-11-01,318,5676
2020-11-02,335,11195
2020-11-03,320,11602
2020-11-04,294,11586
2020-11-05,308,12605
2020-11-06,289,11836
2020-11-07,267,7786
2020-11-08,266,4488
2020-11-09,284,10181
2020-11-10,280,11628
2020-11-11,256,11523
2020-11-12,239,10871
2020-11-13,233,10786
2020-11-14,230,6767
2020-11-15,216,3899
2020-11-16,241,9776
2020-11-17,250,9700
2020-11-18,242,9842
2020-11-19,223,9254
2020-11-20,216,8929
2020-11-21,206,5360
2020-11-22,166,3210
2020-11-23,207,4531
2020-11-24,220,8308
2020-11-25,186,8379
2020-11-26,203,8162
2020-11-27,176,7693
2020-11-28,174,5441
2020-11-29,144,3239
2020-11-30,165,7292
2020-12-01,148,7490
2020-12-02,172,6747
2020-12-03,155,6810
2020-12-04,150,6055
2020-12-05,118,4214
2020-12-06,150,2176
2020-12-07,130,3891
2020-12-08,164,2927
2020-12-09,135,6913
2020-12-10,151,6920
2020-12-11,141,6982
2020-12-12,140,4611
2020-12-13,111,2801
2020-12-14,141,6876
2020-12-15,122,7195
2020-12-16,118,7012
2020-12-17,119,7512
2020-12-18,134,7275
2020-12-19,120,5610
2020-12-20,116,3072
2020-12-21,111,8523
2020-12-22,147,8941
2020-12-23,127,9374
2020-12-24,131,5451
2020-12-25,109,1811
2020-12-26,134,6570
2020-12-27,139,4296
2020-12-28,137,11459
2020-12-29,125,13031
2020-12-30,129,13455
2020-12-31,126,8571
2021-01-01,140,2685
2021-01-02,166,7767
2021-01-03,157,4934
2021-01-04,157,13953
2021-01-05,160,14085
2021-01-06,131,14496
2021-01-07,160,13722
2021-01-08,162,13932
2021-01-09,158,9959
2021-01-10,165,5174
2021-01-11,170,13076
2021-01-12,172,12787
2021-01-13,155,13374
2021-01-14,149,12131
2021-01-15,191,11384
2021-01-16,174,8426
2021-01-17,180,4951
2021-01-18,186,12019
2021-01-19,170,12038
2021-01-20,194,11380
2021-01-21,219,10402
2021-01-22,184,9964
2021-01-23,176,6677
2021-01-24,192,3770
2021-01-25,184,10045
2021-01-26,191,10304
2021-01-27,189,9888
2021-01-28,168,9265
2021-01-29,152,8722
2021-01-30,167,6385
2021-01-31,148,3915
2021-02-01,161,8937
2021-02-02,161,9149
2021-02-03,154,8659
2021-02-04,165,8113
2021-02-05,166,7688
2021-02-06,147,5120
2021-02-07,158,2910
2021-02-08,120,7383
2021-02-09,138,7761
2021-02-10,156,7122
2021-02-11,125,7167
2021-02-12,122,7184
2021-02-13,148,4902
2021-02-14,126,2716
2021-02-15,142,3890
2021-02-16,105,3550
2021-02-17,131,7890
2021-02-18,145,7858
2021-02-19,133,7482
2021-02-20,115,4884
2021-02-21,131,2981
2021-02-22,138,7421
2021-02-23,129,7131
2021-02-24,118,7017
2021-02-25,129,7030
2021-02-26,108,6669
2021-02-27,115,4540
2021-02-28,117,2553
2021-03-01,123,7466
2021-03-02,141,7245
2021-03-03,122,7505
2021-03-04,112,7120
2021-03-05,140,7199
2021-03-06,94,4757
2021-03-07,107,2737
2021-03-08,121,7188
2021-03-09,136,7402
2021-03-10,124,7990
2021-03-11,122,7918
2021-03-12,146,7892
2021-03-13,114,5186
2021-03-14,108,3079
2021-03-15,132,8125
2021-03-16,104,8521
2021-03-17,117,8217
2021-03-18,115,7941
2021-03-19,123,8332
2021-03-20,129,5854
2021-03-21,91,3214
2021-03-22,144,10050
2021-03-23,139,10720
2021-03-24,150,7130
2021-03-25,133,11530
2021-03-26,132,13069
2021-03-27,120,9526
2021-03-28,137,5850
2021-03-29,160,14762
2021-03-30,146,15980
2021-03-31,160,17132
2021-04-01,135,14294
2021-04-02,176,11233
2021-04-03,180,13333
2021-04-04,185,9129
2021-04-05,190,23213
2021-04-06,211,25198
2021-04-07,238,26227
2021-04-08,233,26122
2021-04-09,208,25891
2021-04-10,268,18329
2021-04-11,207,11610
2021-04-12,261,27071
2021-04-13,300,27686
2021-04-14,288,27397
2021-04-15,309,26242
2021-04-16,351,27656
2021-04-17,352,18289
2021-04-18,381,12552
2021-04-19,409,29103
2021-04-20,368,29267
2021-04-21,435,27489
2021-04-22,421,26062
2021-04-23,460,25991
2021-04-24,397,17913
2021-04-25,414,10258
2021-04-26,469,26313
2021-04-27,467,24874
2021-04-28,444,23913
2021-04-29,450,23510
2021-04-30,464,23180
2021-05-01,497,13507
2021-05-02,460,9091
2021-05-03,487,26606
2021-05-04,419,25430
2021-05-05,424,25400
2021-05-06,461,22491
2021-05-07,451,23249
2021-05-08,474,15824
2021-05-09,441,9485
2021-05-10,471,27633
2021-05-11,467,28204
2021-05-12,452,26842
2021-05-13,468,28315
2021-05-14,497,29594
2021-05-15,466,20550
2021-05-16,455,13011
2021-05-17,537,37389
2021-05-18,515,41049
2021-05-19,500,36236
2021-05-20,534,36745
2021-05-21,524,36876
2021-05-22,512,25405
2021-05-23,559,15154
2021-05-24,557,30109
2021-05-25,579,24980
2021-05-26,617,41437
2021-05-27,628,39907
2021-05-28,601,38986
2021-05-29,570,25163
2021-05-30,615,14678
2021-05-31,643,37370
2021-06-01,595,35294
2021-06-02,639,33051
2021-06-03,656,31923
2021-06-04,605,30437
2021-06-05,604,19358
2021-06-06,610,11706
2021-06-07,631,32054
2021-06-08,637,29846
2021-06-09,587,28032
2021-06-10,544,26394
2021-06-11,601,26110
2021-06-12,557,16343
2021-06-13,572,10280
2021-06-14,588,29142
2021-06-15,512,25081
2021-06-16,523,23051
2021-06-17,538,20602
2021-06-18,538,20109
2021-06-19,525,13718
2021-06-20,464,7027
2021-06-21,471,12888
2021-06-22,481,24816
2021-06-23,432,24065
2021-06-24,438,23374
2021-06-25,438,23741
2021-06-26,408,15617
2021-06-27,356,8777
2021-06-28,397,22444
2021-06-29,421,20784
2021-06-30,412,20012
2021-07-01,364,19511
2021-07-02,399,18957
2021-07-03,373,12786
2021-07-04,351,7675
2021-07-05,386,21996
2021-07-06,360,19399
2021-07-07,355,18791
2021-07-08,375,19257
2021-07-09,343,11502
2021-07-10,302,12591
2021-07-11,311,7275
2021-07-12,308,19885
2021-07-13,308,18723
2021-07-14,314,17309
2021-07-15,287,16317
2021-07-16,300,15907
2021-07-17,292,9888
2021-07-18,273,5675
2021-07-19,287,15997
2021-07-20,294,14405
2021-07-21,278,13679
2021-07-22,249,13701
2021-07-23,275,14846
2021-07-24,263,9723
2021-07-25,217,5729
2021-07-26,236,16739
2021-07-27,226,15471
2021-07-28,215,13695
2021-07-29,221,13535
2021-07-30,216,13566
2021-07-31,197,8644
2021-08-01,195,5296
2021-08-02,187,15571
2021-08-03,191,14269
2021-08-04,211,13832
2021-08-05,217,12488
2021-08-06,210,12653
2021-08-07,170,7519
2021-08-08,179,4547
2021-08-09,191,12211
2021-08-10,179,10892
2021-08-11,180,10167
2021-08-12,176,8926
2021-08-13,162,8453
2021-08-14,178,5344
2021-08-15,162,3040
2021-08-16,147,4611
2021-08-17,178,9568
2021-08-18,145,8560
2021-08-19,137,7582
2021-08-20,146,7310
2021-08-21,115,4492
2021-08-22,112,2524
2021-08-23,123,7119
2021-08-24,115,6349
2021-08-25,106,5242
2021-08-26,103,5341
2021-08-27,111,4909
2021-08-28,123,2990
2021-08-29,102,1748
2021-08-30,104,5535
2021-08-31,84,4781
2021-09-01,96,4276
2021-09-02,94,3902
2021-09-03,98,3824
2021-09-04,71,2061
2021-09-05,65,1297
2021-09-06,75,3680
2021-09-07,63,3063
2021-09-08,54,2532
2021-09-09,78,2490
2021-09-10,74,2361
2021-09-11,50,1436
2021-09-12,73,772
2021-09-13,73,2416
2021-09-14,51,2102
2021-09-15,40,2097
2021-09-16,49,2039
2021-09-17,46,1974
2021-09-18,50,1036
2021-09-19,49,533
2021-09-20,36,2105
2021-09-21,39,1415
2021-09-22,34,1569
2021-09-23,33,1376
2021-09-24,31,1366
2021-09-25,21,879
2021-09-26,31,469
2021-09-27,37,1566
2021-09-28,24,1332
2021-09-29,25,1303
2021-09-30,19,1279
2021-10-01,19,1240
2021-10-02,23,601
2021-10-03,13,333
2021-10-04,22,1168
2021-10-05,15,1068
2021-10-06,16,1028
2021-10-07,20,864
2021-10-08,8,492
2021-10-09,17,505
2021-10-10,15,382
2021-10-11,18,529
2021-10-12,15,1163
2021-10-13,14,1197
2021-10-14,10,1160
2021-10-15,13,1132
2021-10-16,14,631
2021-10-17,21,338
2021-10-18,10,1219
2021-10-19,15,1156
2021-10-20,11,1239
2021-10-21,19,1343
2021-10-22,10,1331
2021-10-23,12,743
2021-10-24,8,505
2021-10-25,13,1417
2021-10-26,11,1373
2021-10-27,15,1353
2021-10-28,18,1287
2021-10-29,11,1264
2021-10-30,5,848
2021-10-31,9,535
2021-11-01,10,1244
2021-11-02,12,1253
2021-11-03,12,1235
2021-11-04,4,1333
2021-11-05,6,1220
2021-11-06,8,849
2021-11-07,8,576
2021-11-08,8,1342
2021-11-09,13,1316
2021-11-10,9,1450
2021-11-11,16,1459
2021-11-12,7,1527
2021-11-13,9,987
2021-11-14,4,556
2021-11-15,8,1628
2021-11-16,16,1419
2021-11-17,5,1519
2021-11-18,9,1571
2021-11-19,16,1530
2021-11-20,15,952
2021-11-21,8,694
2021-11-22,6,862
2021-11-23,15,2222
2021-11-24,18,2106
2021-11-25,15,2095
2021-11-26,16,2001
2021-11-27,11,1359
2021-11-28,13,917
2021-11-29,14,2314
2021-11-30,16,2141
2021-12-01,11,2390
2021-12-02,17,2554
2021-12-03,17,2230
2021-12-04,16,1678
2021-12-05,14,1093
2021-12-06,16,2972
2021-12-07,19,3000
2021-12-08,12,1664
2021-12-09,17,3644
2021-12-10,11,3425
2021-12-11,22,2564
2021-12-12,24,1710
2021-12-13,13,4504
2021-12-14,12,4827
2021-12-15,24,5102
2021-12-16,19,5610
2021-12-17,19,5970
2021-12-18,16,4448
2021-12-19,16,3012
2021-12-20,21,9504
2021-12-21,15,11922
2021-12-22,22,16835
2021-12-23,26,19190
2021-12-24,24,14735
2021-12-25,22,7089
2021-12-26,21,14725
2021-12-27,31,37435
2021-12-28,35,50129
2021-12-29,33,59825
2021-12-30,45,63955
2021-12-31,26,46369
2022-01-01,34,20922
2022-01-02,44,38622
2022-01-03,57,107219
2022-01-04,52,129152
2022-01-05,66,148245
2022-01-06,71,142827
2022-01-07,79,140015
2022-01-08,98,86342
2022-01-09,80,64266
2022-01-10,134,174054
2022-01-11,141,160627
2022-01-12,183,155994
2022-01-13,201,138321
2022-01-14,272,135644
2022-01-15,320,79742
2022-01-16,301,59051
2022-01-17,306,142258
2022-01-18,278,133772
2022-01-19,297,121963
2022-01-20,300,112448
2022-01-21,312,101186
2022-01-22,316,56682
2022-01-23,285,34953
2022-01-24,353,92055
2022-01-25,330,73464
2022-01-26,307,63423
2022-01-27,322,53924
2022-01-28,315,46590
2022-01-29,277,24047
2022-01-30,278,15866
2022-01-31,238,45736
2022-02-01,253,32279
2022-02-02,286,30640
2022-02-03,259,25495
2022-02-04,221,23006
2022-02-05,226,11689
2022-02-06,185,6942
2022-02-07,222,20585
2022-02-08,174,16817
2022-02-09,164,15439
2022-02-10,148,14330
2022-02-11,161,10907
2022-02-12,121,6179
2022-02-13,136,3596
2022-02-14,137,12089
2022-02-15,111,11128
2022-02-16,114,10311
2022-02-17,99,9499
2022-02-18,76,8703
2022-02-19,86,4008
2022-02-20,99,2910
2022-02-21,82,8459
2022-02-22,73,7201
2022-02-23,63,6937
2022-02-24,75,5568
2022-02-25,52,5025
2022-02-26,45,2605
2022-02-27,53,1818
2022-02-28,33,2263
2022-03-01,36,1977
2022-03-02,42,5431
2022-03-03,37,4980
2022-03-04,42,4595
2022-03-05,18,2010
2022-03-06,29,1361
2022-03-07,26,4542
2022-03-08,24,3481
2022-03-09,38,3706
2022-03-10,29,3614
2022-03-11,14,3039
2022-03-12,14,1302
2022-03-13,21,863
2022-03-14,21,3559
2022-03-15,13,3537
2022-03-16,12,3101
2022-03-17,13,2485
2022-03-18,11,2252
2022-03-19,15,1004
2022-03-20,9,603
2022-03-21,11,1995
2022-03-22,14,1773
2022-03-23,8,1583
2022-03-24,4,769
2022-03-25,5,1531
2022-03-26,9,742
2022-03-27,9,476
2022-03-28,9,1655
2022-03-29,9,1531
2022-03-30,10,1378
2022-03-31,13,1303
2022-04-01,18,920
2022-04-02,9,455
2022-04-03,10,344
2022-04-04,9,1163
2022-04-05,9,1043
2022-04-06,8,1214
2022-04-07,10,989
2022-04-08,6,984
2022-04-09,7,410
2022-04-10,3,424
2022-04-11,7,1146
2022-04-12,6,892
2022-04-13,5,996
2022-04-14,5,614
2022-04-15,3,380
2022-04-16,4,429
2022-04-17,5,361
2022-04-18,0,1415
2022-04-19,5,1178
2022-04-20,7,1163
2022-04-21,6,1117
2022-04-22,5,832
2022-04-23,2,577
2022-04-24,3,363
2022-04-25,5,1266
2022-04-26,4,1243
2022-04-27,8,1399
2022-04-28,5,1579
2022-04-29,3,1356
2022-04-30,4,815
2022-05-01,1,638
2022-05-02,4,2000
2022-05-03,7,2126
2022-05-04,3,2524
2022-05-05,5,3077
2022-05-06,5,3051
2022-05-07,4,2136
2022-05-08,5,1794
2022-05-09,3,5027
2022-05-10,5,5014
2022-05-11,1,5469
2022-05-12,4,5661
2022-05-13,5,5595
2022-05-14,5,3189
2022-05-15,5,2569
2022-05-16,7,6377
2022-05-17,4,5969
2022-05-18,4,3071
2022-05-19,8,8670
2022-05-20,4,7511
2022-05-21,5,4480
2022-05-22,6,3176
2022-05-23,7,9587
2022-05-24,7,8249
2022-05-25,8,3388
2022-05-26,13,8238
2022-05-27,12,6908
2022-05-28,8,3684
2022-05-29,11,2862
2022-05-30,6,7008
2022-05-31,14,6167
2022-06-01,8,5868
2022-06-02,3,5202
2022-06-03,2,4082
2022-06-04,1,1684
2022-06-05,0,0
